STORE_NBR,LYLTY_CARD_NBR,MONTH_END,TOT_SALES_PER_MONTH,TXN_COUNT
1,1353,7/31/2018,5.4,1
1,1352,7/31/2018,4.6,1
1,1425,7/31/2018,4.6,1
1,1216,7/31/2018,2.1,1
1,1042,7/31/2018,2.3,1
1,1471,7/31/2018,4.4,1
1,1233,7/31/2018,1.9,1
1,1412,7/31/2018,5.4,1
1,1068,7/31/2018,2.9,1
1,1366,7/31/2018,1.9,1
1,1291,7/31/2018,4.7,2
1,1423,7/31/2018,3.8,1
1,1504,7/31/2018,1.9,1
1,1440,7/31/2018,2.9,1
1,1072,7/31/2018,5.8,1
1,1402,7/31/2018,4.4,1
1,1055,7/31/2018,2.6,1
1,1259,7/31/2018,6.5,1
1,1096,7/31/2018,3.7,1
1,1087,7/31/2018,4.4,1
1,1155,7/31/2018,3,1
1,1411,7/31/2018,3,1
1,1414,7/31/2018,3.9,1
1,1283,7/31/2018,1.9,1
1,1257,7/31/2018,3.9,1
1,1107,7/31/2018,2.9,1
1,1206,7/31/2018,2.7,1
1,1450,7/31/2018,5.1,1
1,1324,7/31/2018,3.4,1
1,1210,7/31/2018,2.7,1
1,1384,7/31/2018,3,1
1,1188,7/31/2018,9.2,2
1,1293,7/31/2018,10.8,1
1,1318,7/31/2018,15.6,2
1,1482,7/31/2018,2.9,1
1,1011,7/31/2018,6.2,1
1,1027,7/31/2018,2.4,1
1,1462,7/31/2018,3.8,1
1,1350,7/31/2018,2.1,1
1,1057,7/31/2018,5.7,1
1,1102,7/31/2018,2.1,1
1,1118,7/31/2018,3.6,1
1,1101,7/31/2018,3,1
1,1330,7/31/2018,4.4,1
1,1140,7/31/2018,8.8,1
1,1355,7/31/2018,2.7,1
1,1256,7/31/2018,4.4,1
1,1246,7/31/2018,3.8,1
1,1502,7/31/2018,3.7,1
1,1143,8/31/2018,2.6,1
1,1118,8/31/2018,3,1
1,1270,8/31/2018,4.6,1
1,1122,8/31/2018,7.4,1
1,1330,8/31/2018,3.7,1
1,1203,8/31/2018,11.4,1
1,1163,8/31/2018,5.4,1
1,1209,8/31/2018,2.7,1
1,1114,8/31/2018,4.6,1
1,1292,8/31/2018,2.1,1
1,1291,8/31/2018,1.9,1
1,1147,8/31/2018,5.4,1
1,1048,8/31/2018,2.9,1
1,1404,8/31/2018,1.9,1
1,1335,8/31/2018,2.3,1
1,1312,8/31/2018,3,1
1,1228,8/31/2018,3,1
1,1173,8/31/2018,2.1,1
1,1336,8/31/2018,2.7,1
1,1053,8/31/2018,4.4,1
1,1223,8/31/2018,3,1
1,1187,8/31/2018,5.4,1
1,1501,8/31/2018,3,1
1,1383,8/31/2018,5.4,1
1,1284,8/31/2018,3,1
1,1278,8/31/2018,4.2,1
1,1502,8/31/2018,2.7,1
1,1460,8/31/2018,10.4,1
1,1027,8/31/2018,5.7,1
1,1169,8/31/2018,6,1
